XYDATA
! Title: NAC /nov12/11bmb_1804
! Run no. =               1804 
! No. steps =             54000 
! Scan time =             NOV 29, 2012 18:07:11.025644 
! Sample Comment =        NAC 
! User sample name =      1.5 mm diameter 
! Composition =           Na2Ca3Al2F14
! Temp (K) =              298.0 
! Start 2theta (deg) =    -16.0 
! End 2theta (deg) =      38.0 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! Intensity scale =       9383.82768362 
! Calibration file =      11bmb_1800_2thcorrected.calib 
! 2Theta correction subtracted 
! Calibrated wavelength = 0.413909
! Fullprof format INSTRM=10 (x, y, sigma)
INTER 1.0 1.0  2 0.00100
! ---------------------------------------
! degrees       intensity        sigma
0.50000       239.9326        16.0755
0.50100       244.1230        16.1824
0.50200       224.0200        15.6016
0.50300       202.7513        14.7862
0.50400       223.7218        15.4764
0.50500       232.3634        15.8602
0.50600       230.1731        15.7830
0.50700       219.8383        15.4591
0.50800       236.0515        16.0082
0.50900       226.9084        15.7091
0.51000       213.9641        15.2005
0.51100       215.3510        15.2752
0.51200       208.1831        15.0571
0.51300       212.8432        15.2010
0.51400       243.1858        16.2503
0.51500       216.5895        15.3193
0.51600       232.8549        15.8235
0.51700       218.3863        15.3416
0.51800       215.7468        15.3050
0.51900       215.6276        15.3488
0.52000       240.4646        16.1106
0.52100       220.9521        15.4237
0.52200       220.1564        15.3450
0.52300       215.6401        15.3023
0.52400       223.8311        15.6636
0.52500       240.5328        16.1170
0.52600       240.5355        16.1190
0.52700       224.4435        15.6304
0.52800       237.0014        16.0699
0.52900       230.7179        15.8095
0.53000       234.4674        15.9007
0.53100       241.2887        16.2235
0.53200       220.8942        15.4596
0.53300       232.4712        15.8856
0.53400       244.6473        16.2484
0.53500       231.0965        15.7951
0.53600       237.8340        16.0624
0.53700       227.1653        15.6770
0.53800       251.1218        16.4102
0.53899       219.7077        15.4276
0.53999       221.6323        15.4679
0.54099       238.8986        16.1439
0.54199       247.4344        16.4109
0.54299       235.1999        16.0530
0.54399       239.0511        16.1326
0.54499       239.8943        16.1132
0.54599       244.1618        16.1859
0.54699       201.5199        14.8030
0.54799       208.6898        15.0089
0.54899       246.3639        16.2779
0.54999       235.2087        16.0187
0.55099       212.8696        15.1281
0.55199       242.8048        16.1744
0.55299       245.0284        16.3153
0.55399       264.3114        16.9706
0.55499       268.9970        17.0090
0.55599       242.0835        16.1982
0.55699       234.0491        15.9710
0.55799       251.2577        16.5176
0.55899       242.6848        16.2477
0.55999       231.7653        15.8936
0.56099       221.8099        15.5158
0.56199       255.7279        16.5884
0.56299       216.6495        15.2438
0.56399       219.5912        15.4098
0.56499       231.4486        15.7263
0.56599       229.0238        15.7265
0.56699       233.0423        15.9222
0.56799       233.9751        15.9295
0.56899       241.5392        16.2223
