XYDATA
! Title:  From feb10/11bmb_4918.mda processed @ 10-02-26 15:06 
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Run no. =               4918 
! No. steps =             34000 
! Scan time =             FEB 25, 2010 17:14:00.580709 
! Sample name =           Silicon (Si), NIST SRM 640c
! Chemical formula =      Si
! Start 2theta =          -6.0 
! End 2theta =            28.0 
! 2theta step=            0.001 
! Time per step =         0.1 
! Intensity scale =       5889.56694072 
! Calibration file =      feb10/11bmb_4917.calib 
! Calibrated wavelength = 0.412359 
!  
! 2theta, intensity, sigma(intensity)
0.500000 1015.792452 46.500121
0.501000 998.227020 46.077432
0.502000 1003.618232 46.253070
0.503000 1054.941872 47.454931
0.504000 980.668110 45.725650
0.505000 985.074419 45.835926
0.506000 1010.277655 46.507515
0.507000 928.603742 44.464220
0.508000 953.886461 45.153040
0.509000 1027.489170 46.832237
0.510000 1012.671634 46.500052
0.511000 943.942173 44.921719
0.512000 932.479111 44.634770
0.513000 963.030237 45.349595
0.514000 1008.708331 46.440631
0.515000 1010.858220 46.421128
0.516000 1001.285190 46.273376
0.517000 941.697000 44.842016
0.518000 924.807719 44.464894
0.519000 917.725909 44.203806
0.520000 937.505830 44.714537
0.521000 876.379171 43.118490
0.522000 907.593826 44.004370
0.523000 884.399562 43.472062
0.524000 909.987023 44.065538
0.525000 883.198704 43.399861
0.526000 903.434108 43.893942
0.527000 959.345893 45.238718
0.528000 901.386250 43.843466
0.529000 892.654103 43.681008
0.530000 933.806572 44.621658
0.531000 961.870662 45.315968
0.532000 909.194103 44.091341
0.533000 891.430867 43.613755
0.534000 821.337603 41.776461
0.535000 841.788233 42.428391
0.536000 818.753030 41.827087
0.537000 924.682932 44.479110
0.538000 900.386927 43.842416
0.539000 892.414895 43.664098
0.540000 865.929770 42.951431
0.541000 828.937405 41.970525
0.542000 842.857356 42.321218
0.543000 875.941456 43.243586
0.544000 872.573884 43.153253
0.545000 823.524967 41.850013
0.546000 846.341417 42.585902
0.547000 842.815941 42.391500
0.548000 835.605561 42.260787
0.549000 832.577761 42.137162
0.550000 804.262462 41.437114
0.551000 847.713004 42.446555
0.552000 870.408588 43.107215
0.553000 846.397677 42.483259
0.554000 797.732770 41.100859
0.555000 828.332000 42.109065
0.556000 855.522109 42.674698
0.557000 837.106724 42.204632
0.558000 834.503109 42.233232
0.559000 823.688489 41.926992
0.560000 826.742182 41.937093
0.561000 778.022868 40.660662
0.562000 757.737011 40.242959
0.563000 769.057371 40.599023
0.564000 821.060184 41.769682
0.565000 790.080906 41.074919
0.566000 801.892158 41.395492
0.567000 803.967346 41.409164
0.568000 790.822158 41.162056
0.569000 813.844533 41.721038
0.570000 780.631495 40.860423
0.571000 795.100988 41.258335
0.572000 793.483854 41.226724
0.573000 736.343523 39.672098
0.574000 752.735756 40.094021
0.575000 833.398850 42.099596
0.576000 765.134436 40.395126
0.577000 727.560800 39.374478
0.578000 721.345262 39.238913
0.579000 757.714058 40.294903
0.580000 766.692415 40.471438
0.581000 808.262871 41.503271
0.582000 723.615977 39.255483
0.583000 757.721745 40.286130
0.584000 754.416486 40.111079
0.585000 744.494183 39.835835
0.586000 706.740451 38.815021
0.587000 707.669036 38.944253
0.588000 708.739487 38.918470
0.589000 774.252499 40.665545
0.590000 754.853120 40.169058
0.591000 710.334681 38.954130
0.592000 693.730379 38.452376
0.593000 675.459948 37.975235
0.594000 723.593417 39.318809
0.595000 768.872078 40.507300
0.596000 683.143847 38.190028
0.597000 688.022403 38.323204
0.598000 676.324655 37.975650
0.599000 681.736049 38.245229
0.600000 681.883888 38.136755
0.601000 706.195812 38.786783
0.602000 698.346869 38.583805
0.603000 685.761242 38.199400
0.604000 731.488224 39.571599
0.605000 717.441796 39.122634
0.606000 705.355439 38.793059
0.607000 688.371896 38.356674
0.608000 670.809903 37.867801
0.609000 653.644939 37.283728
