XYDATA
! Title: 11-BM data for Al2O3 SRM 676a
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! File no. =               4714 
! No. steps =             34500 
! Scan time =             MAY 31, 2014 22:53 
! Sample name =     	  NIST SRM 676a (Al2O3) 
! Composition =           Aluminium Oxide (Al2O3)
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.6 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! 100/Ring Current[0] =   0.983  
! Monitor I0 [0] =        92715.5  
! Monitor I1 [0] =        75723.2  
! Gonio._radius [mm] =    1000.0 
! Calibration file =      11bmb_4699_2thcorr.calib 
! 2Theta correction subtracted 
! Normalization factor  = 8.3433 
! Calibrated wavelength = 0.413671 
!  
! 2theta, intensity, sigma(intensity)
2.000000 151.392164 16.303788
2.001000 143.314057 15.878994
2.002000 159.659171 16.782879
2.003000 143.810807 15.738458
2.003999 139.895029 15.690303
2.004999 131.810275 15.298655
2.005999 130.959704 15.233507
2.006999 149.151709 16.131981
2.007999 145.704249 16.030963
2.008999 142.534835 15.931293
2.009998 152.741193 16.478996
2.010998 146.227188 15.999991
2.011998 134.656963 15.361537
2.012998 123.204974 14.696071
2.013998 148.942641 16.133010
2.014998 152.219469 16.358060
2.015998 151.299948 16.358508
2.016997 125.808694 14.795014
2.017997 147.887157 16.144500
2.018997 164.085247 16.987403
2.019997 161.545969 16.790404
2.020997 148.963879 16.044692
2.021997 150.413718 16.203419
2.022996 145.091691 16.052839
2.023996 153.712072 16.552793
2.024996 155.497913 16.620879
2.025996 153.250023 16.468051
2.026996 152.879973 16.403267
2.027996 140.815219 15.633053
2.028996 136.682573 15.505193
2.029995 130.855523 15.260330
2.030995 145.216894 15.887439
2.031995 165.500190 16.950160
2.032995 137.402909 15.608962
2.033995 148.054570 16.171600
2.034995 146.740793 16.049175
2.035994 136.974588 15.605081
2.036994 143.013081 15.908256
2.037994 145.175097 16.006566
2.038994 138.996301 15.551330
2.039994 156.487730 16.566209
2.040994 148.238106 16.174952
2.041993 140.274240 15.774395
2.042993 160.857013 16.822052
2.043993 150.547592 16.322603
2.044993 149.558550 16.220179
2.045993 130.801484 15.080451
2.046993 127.963535 14.956993
2.047993 138.158892 15.711489
2.048992 128.596979 14.934983
2.049992 145.972032 16.068073
2.050992 116.936110 14.313904
2.051992 134.956211 15.349086
2.052992 147.408980 16.065528
2.053992 155.656463 16.589329
2.054991 143.530886 15.869676
2.055991 154.340524 16.506250
2.056991 169.831082 17.329564
2.057991 132.722699 15.305736
2.058991 152.908583 16.415262
2.059991 139.444201 15.595307
2.060991 150.942492 16.237706
2.061990 148.269472 16.163825
2.062990 139.626215 15.720109
2.063990 137.812778 15.580258
2.064990 161.895538 16.931426
2.065990 147.259108 16.067216
2.066990 135.721210 15.413635
2.067989 150.783976 16.208381
2.068989 144.707601 15.921512
2.069989 138.811973 15.668217
2.070989 138.807883 15.623946
2.071989 148.432386 16.184074
2.072989 134.926778 15.475313
2.073989 127.951869 14.938101
2.074988 121.483959 14.500892
2.075988 136.030712 15.279111
2.076988 150.738472 16.335387
2.077988 134.185733 15.208206
2.078988 159.420027 16.691607
2.079988 139.695580 15.566038
2.080987 141.794056 15.643691
2.081987 129.901017 15.042162
2.082987 133.992997 15.298698
2.083987 140.244871 15.744610
2.084987 130.967611 15.269795
2.085987 130.855225 15.160735
2.086987 152.292016 16.339889
2.087986 136.110533 15.337014
2.088986 141.772897 15.763776
2.089986 158.130937 16.690488
2.090986 137.755532 15.738654
2.091986 143.989459 15.962174
2.092986 133.403799 15.361214
2.093985 131.669263 15.204774
2.094985 136.951342 15.531828
2.095985 123.530601 14.661494
2.096985 140.765464 15.759886
2.097985 136.529003 15.275142
2.098985 139.634892 15.639364
2.099984 125.428359 14.776690
2.100984 136.766375 15.459329
2.101984 134.599220 15.286402
2.102984 138.711797 15.624524
2.103984 139.212010 15.544699
2.104984 136.919395 15.557422
2.105984 147.928365 16.248219
2.106983 137.720853 15.703931
2.107983 149.901558 16.331325
2.108983 127.822062 14.962722
2.109983 134.910142 15.405519
2.110983 146.495545 16.032819
2.111983 128.724439 15.046149
2.112982 138.042821 15.589099
2.113982 156.313231 16.611046
2.114982 152.785502 16.415938
2.115982 143.323846 15.932256
2.116982 146.345514 16.169121
2.117982 113.070330 13.905673
2.118982 107.055709 13.588795
2.119981 130.010299 15.084958
2.120981 134.001098 15.345641
2.121981 156.162806 16.574631
2.122981 150.519717 16.363519
2.123981 156.882095 16.562554
2.124981 135.500519 15.359821
2.125980 146.191636 15.966038
2.126980 149.436851 16.256142
2.127980 154.030231 16.462806
2.128980 126.882834 14.979938
2.129980 144.444448 15.928315
2.130980 133.079079 15.350515
2.131980 150.613726 16.229506
2.132979 152.985248 16.312544
2.133979 144.742903 15.930762
2.134979 150.787847 16.365388
2.135979 151.372119 16.323458
2.136979 137.763719 15.468351
2.137979 110.947637 14.021054
2.138978 120.325644 14.513468
2.139978 112.480299 14.061588
2.140978 140.045759 15.595235
2.141978 143.174920 15.721141
2.142978 114.039617 14.169536
2.143978 123.809707 14.748869
2.144978 134.500999 15.309366
2.145977 147.842730 16.035207
2.146977 141.910827 15.770578
2.147977 135.231055 15.452216
2.148977 136.824389 15.554469
2.149977 129.327602 15.024561
2.150977 145.797132 16.047033
2.151976 138.401479 15.716329
2.152976 141.249898 15.834158
2.153976 147.319604 16.065338
2.154976 143.202779 15.867895
2.155976 137.881228 15.622834
2.156976 143.906624 15.863730
2.157975 147.508305 16.159086
2.158975 150.692218 16.317884
2.159975 136.788013 15.524031
2.160975 142.237869 15.849772
2.161975 142.102537 15.754600
2.162975 137.704333 15.465651
2.163975 135.006635 15.380448
2.164974 138.630809 15.490045
2.165974 151.755679 16.347798
2.166974 153.691074 16.325592
2.167974 138.766915 15.625449
2.168974 125.513399 14.925566
