XYDATA
! Title:  11BM APS CeO2  
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! File no. =               4717
! No. steps =             34500
! Scan time =             JUN 01, 2014 01:51
! Sample name =           NIST SRM 674b (CeO2)
! Composition =           Cerium(IV) oxide 
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.0
! 2theta step (deg) =     0.001
! Time per step (sec) =   0.1
! 100/Ring Current[0] =   0.982 
! Monitor I0 [0] =        92926.4 
! Monitor I1 [0] =        75877.3 
! Gonio._radius [mm] =    1000.0
! Calibration file =      11bmb_4699_2thcorr.calib
! 2Theta correction subtracted
! Calibrated wavelength = 0.413671
! Normalization factor  = 8.3538
!  
! 2theta, intensity, sigma(intensity)
2.000000 114.402769 14.203127
2.001000 118.775266 14.473643
2.002000 94.273273 12.835020
2.003000 99.900287 13.274086
2.003999 114.100861 14.228512
2.004999 102.075914 13.392645
2.005999 94.591107 12.872505
2.006999 115.170151 14.282011
2.007999 109.211966 14.012046
2.008999 129.192261 15.168190
2.009998 104.642353 13.658796
2.010998 95.964213 13.018057
2.011998 114.588498 14.157487
2.012998 130.681889 15.082267
2.013998 125.914776 14.858898
2.014998 124.591362 14.742322
2.015998 113.917562 14.167269
2.016997 115.250795 14.180469
2.017997 127.787639 15.018702
2.018997 118.163779 14.445506
2.019997 118.771914 14.491646
2.020997 104.983614 13.611933
2.021997 110.258777 13.895500
2.022996 112.066326 14.105012
2.023996 112.395672 14.064797
2.024996 124.818729 14.846360
2.025996 108.593923 13.831810
2.026996 113.270796 14.135514
2.027996 121.655531 14.678606
2.028996 103.595598 13.496285
2.029995 94.230112 12.881826
2.030995 88.754034 12.603531
2.031995 112.274154 14.100621
2.032995 99.948246 13.110651
2.033995 109.417304 13.847060
2.034995 90.498488 12.553502
2.035994 101.310827 13.327202
2.036994 119.886042 14.511876
2.037994 121.578971 14.625442
2.038994 119.449323 14.586281
2.039994 120.564804 14.622217
2.040994 111.721388 14.076157
2.041993 108.969770 13.760947
2.042993 99.586223 13.080041
2.043993 117.303436 14.403652
2.044993 114.824416 14.161239
2.045993 118.866880 14.396031
2.046993 107.885893 13.774823
2.047993 89.320997 12.635281
2.048992 90.367152 12.640011
2.049992 115.962977 14.360432
2.050992 110.471922 13.896302
2.051992 123.814181 14.764996
2.052992 111.693494 14.008050
2.053992 134.007753 15.311531
2.054991 103.590761 13.467237
2.055991 105.365125 13.636199
2.056991 94.103263 12.950481
2.057991 102.083058 13.405716
2.058991 91.742544 12.732316
2.059991 108.878541 13.908393
2.060991 110.168332 13.899575
2.061990 92.524122 12.624229
2.062990 78.482222 11.698264
2.063990 89.941463 12.567451
2.064990 107.410776 13.756631
2.065990 123.445054 14.576589
