XYDATA
! Title: 11BM APS Cr2O3 SRM 674b
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! File no. =               4716
! No. steps =             34500
! Scan time =             JUN 01, 2014 00:52
! Sample name =     	   NIST SRM 674b (Cr2O3)
! Composition =            Chromium(III) oxide
! Sample Comment =         0.8 mm dia Kapton
! Temp (K) =              295.0
! 2theta step (deg) =     0.001
! Time per step (sec) =   0.1
! 100/Ring Current[0] =   0.984 
! Monitor I0 [0] =        92666.8 
! Monitor I1 [0] =        75642.1 
! Gonio._radius [mm] =    1000.0
! Calibration file =      11bmb_4699_2thcorr.calib
! 2Theta correction subtracted
! Normalization factor  = 8.3664
! Calibrated wavelength = 0.413671
!  
! 2theta, intensity, sigma(intensity)
2.000000 148.184091 16.227207
2.001000 144.781120 15.934648
2.002000 144.895010 15.968916
2.003000 149.957591 16.182821
2.003999 125.182110 14.740559
2.004999 143.537938 15.927956
2.005999 122.201047 14.561917
2.006999 127.165692 14.938990
2.007999 136.353784 15.404151
2.008999 146.534260 16.026363
2.009998 141.170543 15.791080
2.010998 138.875540 15.657453
2.011998 151.523855 16.369799
2.012998 150.309152 16.145123
2.013998 132.301242 15.195147
2.014998 143.149980 15.966693
2.015998 135.183223 15.524902
2.016997 149.191703 16.268834
2.017997 166.261281 17.225961
2.018997 131.379940 15.242024
2.019997 128.883440 15.000636
2.020997 139.760228 15.752160
2.021997 155.654575 16.628138
2.022996 147.123056 16.084573
2.023996 146.903256 16.107980
2.024996 141.702940 15.874380
2.025996 141.476269 15.886909
2.026996 129.048588 15.169911
2.027996 138.918572 15.715063
2.028996 135.702700 15.498262
2.029995 158.893129 16.780540
2.030995 159.335342 16.838292
2.031995 119.454027 14.521131
2.032995 134.858317 15.400707
2.033995 155.235179 16.587491
2.034995 143.821649 15.929600
2.035994 144.884974 15.937034
2.036994 137.301745 15.558968
2.037994 117.536796 14.334210
2.038994 130.236676 15.154748
2.039994 126.511324 14.990986
2.040994 131.473038 15.215655
2.041993 128.748892 15.044954
2.042993 139.323954 15.648547
2.043993 132.526085 15.295476
2.044993 137.823511 15.629709
2.045993 135.460567 15.434701
2.046993 151.220659 16.286647
2.047993 162.332278 16.817538
2.048992 151.546365 16.342121
2.049992 135.190277 15.390404
2.050992 124.838373 14.779879
2.051992 131.830274 15.185242
2.052992 144.671769 15.934417
2.053992 147.119296 16.086541
2.054991 156.442103 16.552713
2.055991 116.573507 14.321098
2.056991 126.138205 14.841957
2.057991 115.801157 14.248154
2.058991 130.555985 15.159087
2.059991 118.827828 14.394048
2.060991 122.807446 14.753849
2.061990 126.034643 14.938379
2.062990 120.752861 14.643634
2.063990 164.916819 17.149773
2.064990 149.351186 16.283960
2.065990 137.943339 15.654133
2.066990 161.603604 16.911386
2.067989 142.108248 15.741380
2.068989 126.045509 14.956580
2.069989 105.853486 13.668633
2.070989 129.600217 15.103689
2.071989 115.697720 14.074547
2.072989 133.652886 15.331973
