XYDATA
! 11BM APS Si SRM 640d
! File no. =              6098 
! No. steps =             34500 
! Scan time =             AUG 15, 2014 21:05
! Sample name =     	  NIST SRM 640d (Si)
! Composition =           Silicon (Si)
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.6 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! 100/Ring Current[0] =   1.004  
! Monitor I0 [0] =        86940.6  
! Monitor I1 [0] =        71229.8  
! Gonio._radius [mm] =    1000.0 
! Calibration file =      11bmb_6097_2thcorr.calib 
! 2Theta correction subtracted 
! Normalization factor  = 7.8467 
! Calibrated wavelength = 0.413848 
! Fullprof format INSTRM=10 (x, y, sigma)
INTER 1.0 1.0  2 0.00100
! ---------------------------------------
! degrees       intensity        sigma
0.50000       323.9196        26.1318
0.50100       353.2663        27.3098
0.50200       338.4817        26.7733
0.50300       323.2034        26.1186
0.50400       333.0086        26.5286
0.50500       340.9289        26.8475
0.50600       309.3215        25.5655
0.50700       314.1906        25.7385
0.50800       325.3879        26.2630
0.50900       331.4864        26.5035
0.51000       345.3806        27.0476
0.51100       334.8072        26.6009
0.51200       347.0026        27.0439
0.51300       360.0994        27.5922
0.51400       371.2381        28.0196
0.51500       376.9750        28.2338
0.51600       343.8524        26.9368
0.51700       335.6121        26.6144
0.51800       339.9356        26.7721
0.51900       355.9275        27.5056
0.52000       368.9220        28.0100
0.52100       392.8225        28.8619
0.52200       381.4236        28.4117
0.52300       350.7186        27.2921
0.52400       379.6167        28.3999
0.52500       394.5580        28.9256
0.52600       382.0052        28.3443
0.52700       395.1672        28.8947
0.52800       381.3602        28.3626
0.52900       385.3874        28.5216
0.53000       389.8658        28.7357
0.53100       417.9650        29.8106
0.53200       398.5383        29.0290
0.53300       353.9606        27.3737
0.53400       340.2778        26.9182
0.53500       338.2055        26.6858
0.53600       348.3700        27.0613
0.53700       382.5164        28.4917
0.53800       363.7174        27.6582
0.53899       348.4313        27.0743
0.53999       383.1905        28.4851
0.54099       415.1739        29.5951
0.54199       414.4922        29.6182
0.54299       410.7483        29.5532
0.54399       380.2339        28.4109
0.54499       378.8728        28.2900
0.54599       403.6499        29.2131
0.54699       395.6138        28.9476
0.54799       377.7918        28.2445
0.54899       377.9853        28.1936
0.54999       407.5807        29.2500
0.55099       397.5859        29.0174
0.55199       397.8920        29.0669
0.55299       374.1230        28.1250
0.55399       366.6972        27.8662
0.55499       378.8070        28.3428
0.55599       406.5617        29.3661
0.55699       420.6671        29.8628
0.55799       386.2899        28.6009
0.55899       385.3338        28.5208
0.55999       416.8097        29.6425
0.56099       391.6011        28.7397
0.56199       382.0034        28.3617
0.56299       393.3299        28.8015
0.56399       359.6463        27.5271
0.56499       352.8331        27.2046
0.56599       378.6068        28.2908
0.56699       375.4555        28.2303
0.56799       412.8762        29.5535
0.56899       410.7355        29.4554
0.56999       377.0414        28.1953
0.57099       357.6417        27.4289
0.57199       308.8431        25.6602
0.57299       336.6176        26.6470
0.57399       381.3925        28.4498
0.57499       394.4291        28.8968
0.57599       367.3806        27.8643
0.57699       373.8448        28.1688
0.57799       406.4061        29.4151
