XYDATA
! Title:  11BM APS ZnO
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! Run no. =               4715 
! No. steps =             34500 
! Scan time =             MAY 31, 2014 23:52
! Sample name =     	  NIST SRM 674b (ZnO)
! Composition =           Zinc Oxide
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.0 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! 100/Ring Current[0] =   1.025  
! Monitor I0 [0] =        89933.5  
! Monitor I1 [0] =        73484.6  
! Gonio._radius [mm] =    1000.0 
! Calibration file =      11bmb_4699_2thcorr.calib
! 2Theta correction subtracted 
! Normalization factor  = 8.1812 
! Calibrated wavelength = 0.413671 
!  
! 2theta, intensity, sigma(intensity)
2.000000 116.029112 14.476532
2.001000 113.933506 14.271198
2.002000 111.636969 14.091056
2.003000 114.580888 14.259075
2.003999 117.282427 14.419115
2.004999 121.240555 14.553015
2.005999 120.900378 14.653465
2.006999 125.370138 14.987909
2.007999 134.696462 15.532890
2.008999 126.412380 15.104470
2.009998 123.035408 14.768776
2.010998 123.728824 14.924286
2.011998 103.383469 13.522524
2.012998 123.562863 14.821433
2.013998 151.592479 16.477892
2.014998 131.244171 15.196390
2.015998 118.555983 14.493387
2.016997 139.707081 15.819704
2.017997 126.950547 15.106756
2.018997 119.802313 14.593663
2.019997 132.411634 15.428817
2.020997 126.758115 15.006685
2.021997 121.041682 14.660682
2.022996 125.043621 14.919483
2.023996 123.499387 14.951382
2.024996 120.989476 14.735137
2.025996 122.899492 14.804078
2.026996 129.675950 15.275242
2.027996 117.688191 14.507960
2.028996 125.103421 14.993784
2.029995 115.804826 14.479555
2.030995 131.081455 15.412235
2.031995 114.407935 14.326979
2.032995 119.011538 14.513441
2.033995 121.462389 14.685467
2.034995 125.750794 14.978902
2.035994 137.696333 15.755032
2.036994 130.148644 15.215959
2.037994 135.126606 15.528516
2.038994 108.207125 13.907170
2.039994 112.382145 14.210474
2.040994 134.386334 15.542498
2.041993 137.045544 15.732253
2.042993 109.447938 13.981451
2.043993 103.440180 13.472958
2.044993 118.670860 14.519420
2.045993 110.264653 14.114417
2.046993 115.836161 14.376237
2.047993 125.328674 14.982581
2.048992 128.067273 15.122691
2.049992 106.754074 13.675647
2.050992 107.097253 13.830196
2.051992 127.303355 15.152711
2.052992 109.822748 13.930992
2.053992 111.807391 13.995803
2.054991 142.814398 15.988675
2.055991 110.120929 13.970838
2.056991 93.201517 12.826536
2.057991 105.467502 13.743234
2.058991 103.063482 13.559248
2.059991 105.235146 13.722864
2.060991 110.727449 14.035250
2.061990 112.967082 14.179828
2.062990 109.158914 13.983763
2.063990 100.429933 13.381462
2.064990 117.388874 14.496515
2.065990 111.779550 14.046375
2.066990 95.129157 13.052013
2.067989 117.422706 14.490173
2.068989 117.151152 14.487624
2.069989 104.620587 13.748616
